Text,Start,End,Entity
Xylocaine 20 mL,129,132,DRUG_DOSE
Chest pain,26,36,DISEASE
Chest pain,122,132,DISEASE
intercostal block,318,335,DISEASE
chest pain,388,398,DISEASE
Xylocaine,730,739,CHEMICAL
Marcaine,750,758,CHEMICAL
contusion,987,996,DISEASE
respiratory distress,1076,1096,DISEASE
pain,1150,1154,DISEASE
Marcaine 0.25%,133,136,DRUG_DOSE
Chest pain,26,36,DISEASE
Chest pain,122,132,DISEASE
intercostal block,318,335,DISEASE
chest pain,388,398,DISEASE
Xylocaine,730,739,CHEMICAL
Marcaine,750,758,CHEMICAL
contusion,987,996,DISEASE
respiratory distress,1076,1096,DISEASE
pain,1150,1154,DISEASE
Aspirin 81 mg,204,207,DRUG_DOSE
non-small cell lung cancer,114,140,DISEASE
barium,322,328,CHEMICAL
hiatal hernia,373,386,DISEASE
odynophagia,647,658,DISEASE
tenderness,829,839,DISEASE
DVT,918,921,DISEASE
weight loss,952,963,DISEASE
anorexia,965,973,DISEASE
fevers,975,981,DISEASE
chills,983,989,DISEASE
headaches,991,1000,DISEASE
aches,1006,1011,DISEASE
pains,1015,1020,DISEASE
cough,1022,1027,DISEASE
hemoptysis,1029,1039,DISEASE
shortness of breath,1041,1060,DISEASE
dyspnea,1073,1080,DISEASE
Aspirin,1109,1116,CHEMICAL
Spiriva,1134,1141,CHEMICAL
albuterol,1159,1168,CHEMICAL
cyanosis,1455,1463,DISEASE
clubbing,1465,1473,DISEASE
Cranial nerves II,1516,1533,DISEASE
non-small cell lung cancer,1657,1683,DISEASE
DVT,1853,1856,DISEASE
nifedipine,1930,1940,CHEMICAL
esophageal spasm,1966,1982,DISEASE
Spiriva 10 mcg,212,215,DRUG_DOSE
non-small cell lung cancer,114,140,DISEASE
barium,322,328,CHEMICAL
hiatal hernia,373,386,DISEASE
odynophagia,647,658,DISEASE
tenderness,829,839,DISEASE
DVT,918,921,DISEASE
weight loss,952,963,DISEASE
anorexia,965,973,DISEASE
fevers,975,981,DISEASE
chills,983,989,DISEASE
headaches,991,1000,DISEASE
aches,1006,1011,DISEASE
pains,1015,1020,DISEASE
cough,1022,1027,DISEASE
hemoptysis,1029,1039,DISEASE
shortness of breath,1041,1060,DISEASE
dyspnea,1073,1080,DISEASE
Aspirin,1109,1116,CHEMICAL
Spiriva,1134,1141,CHEMICAL
albuterol,1159,1168,CHEMICAL
cyanosis,1455,1463,DISEASE
clubbing,1465,1473,DISEASE
Cranial nerves II,1516,1533,DISEASE
non-small cell lung cancer,1657,1683,DISEASE
DVT,1853,1856,DISEASE
nifedipine,1930,1940,CHEMICAL
esophageal spasm,1966,1982,DISEASE
nifedipine 10 mg,376,379,DRUG_DOSE
non-small cell lung cancer,114,140,DISEASE
barium,322,328,CHEMICAL
hiatal hernia,373,386,DISEASE
odynophagia,647,658,DISEASE
tenderness,829,839,DISEASE
DVT,918,921,DISEASE
weight loss,952,963,DISEASE
anorexia,965,973,DISEASE
fevers,975,981,DISEASE
chills,983,989,DISEASE
headaches,991,1000,DISEASE
aches,1006,1011,DISEASE
pains,1015,1020,DISEASE
cough,1022,1027,DISEASE
hemoptysis,1029,1039,DISEASE
shortness of breath,1041,1060,DISEASE
dyspnea,1073,1080,DISEASE
Aspirin,1109,1116,CHEMICAL
Spiriva,1134,1141,CHEMICAL
albuterol,1159,1168,CHEMICAL
cyanosis,1455,1463,DISEASE
clubbing,1465,1473,DISEASE
Cranial nerves II,1516,1533,DISEASE
non-small cell lung cancer,1657,1683,DISEASE
DVT,1853,1856,DISEASE
nifedipine,1930,1940,CHEMICAL
esophageal spasm,1966,1982,DISEASE
aspirin one tablet,220,223,DRUG_DOSE
thrombocytopenia,160,176,DISEASE
atrial fibrillation,696,715,DISEASE
fever,884,889,DISEASE
chills,891,897,DISEASE
sweats,908,914,DISEASE
lymphadenopathy,920,935,DISEASE
nausea,941,947,DISEASE
vomiting,951,959,DISEASE
Multivitamin q.d,1023,1039,CHEMICAL
aspirin,1042,1049,CHEMICAL
q.d,1061,1064,CHEMICAL
Lupron q.,1067,1076,CHEMICAL
Warfarin,1116,1124,CHEMICAL
"negative.,PAST",1222,1236,DISEASE
Prostate cancer,1309,1324,DISEASE
prostate,1565,1573,DISEASE
